doc_id,topic,topic_prob,sent_score
136,0,0.13479262264171277,10.0
137,12,0.4096627704718037,9.2
138,3,0.3795089333807562,7.9
139,4,1.0,9.2
140,1,1.0,7.9
141,1,0.27256694665223874,7.1
142,-1,,7.9
143,9,0.23947056433857225,9.6
144,-1,,9.6
145,-1,,9.6
146,1,0.6371679024277829,8.8
147,2,1.0,9.2
148,0,0.3179422586599528,9.6
149,-1,,2.5
150,0,0.23562587716737954,10.0
151,4,0.8269720820060548,10.0
152,4,0.2631680052802295,10.0
153,0,0.5904547144108033,10.0
154,-1,,7.1
155,0,0.33854222553925883,8.3
156,0,0.3437682277020334,9.6
157,-1,,9.6
158,8,0.055415837990146856,9.6
159,0,0.30445652155291986,7.9
160,6,0.5524461045985377,9.6
161,-1,,8.3
162,0,1.0,9.6
163,-1,,9.6
164,0,0.22709562751796014,8.8
165,-1,,7.9
166,2,0.6257764908123848,10.0
167,0,0.6088485424962824,8.8
168,0,0.31975702221140784,10.0
169,8,1.0,8.8
170,3,0.08781711955718408,6.3
171,-1,,9.2
172,0,0.4391123955247438,10.0
173,1,0.3254439455115018,8.8
174,1,1.0,7.1
175,4,0.2003633449875614,10.0
176,-1,,3.3
177,2,0.6588523226168814,7.9
178,0,0.2613632697828394,8.8
179,0,0.3201929127788241,9.6
180,12,1.0,9.6
181,3,0.10344259043351049,9.2
182,-1,,7.5
183,2,0.6997865496699247,9.6
184,-1,,6.7
185,-1,,10.0
186,0,0.19803688106096717,10.0
187,1,0.35331301851687796,9.6
188,-1,,10.0
189,-1,,9.6
190,13,1.0,10.0
191,6,0.42691259442786367,7.9
192,-1,,9.6
193,1,0.6739722201183297,7.9
194,1,0.5401416422550441,9.6
195,12,0.4690777188560373,6.3
196,-1,,8.8
197,-1,,3.3
198,2,1.0,9.2
199,2,0.5129961880804581,8.8
200,4,0.1864913371319765,9.6
201,10,1.0,7.9
202,2,0.4433412624053334,10.0
203,-1,,6.3
204,7,0.31505724591202505,10.0
205,4,0.7732798007468734,10.0
206,-1,,8.8
207,2,0.4268020347778292,5.0
208,1,1.0,5.8
209,-1,,9.6
210,5,0.3285753855450066,8.8
211,10,1.0,10.0
212,0,0.3169319062151392,9.6
213,0,0.19925593918877857,7.5
214,14,1.0,8.3
215,-1,,5.8
216,3,0.5343790165376276,5.8
217,2,0.3416247482619179,5.0
218,3,0.06766877632126522,9.6
219,-1,,8.3
220,8,1.0,7.9
221,1,0.46649126731165197,10.0
222,2,0.6449854477340912,8.3
223,6,0.6641156438441478,7.5
224,12,1.0,7.9
225,11,1.0,10.0
226,0,0.0905946824848933,7.5
227,10,0.36880025013126316,9.6
228,0,0.1352779187355961,7.9
229,-1,,9.2
230,-1,,5.8
231,2,1.0,8.3
232,-1,,4.2
233,2,0.2734268975611804,10.0
234,-1,,8.8
235,7,0.6068024013947793,9.2
236,-1,,6.7
237,0,0.7000903103338708,7.5
238,0,0.3352063647179515,8.8
239,-1,,4.6
240,10,1.0,10.0
241,3,0.4802624858879979,6.3
242,0,0.20474173328352838,9.6
243,-1,,7.5
244,-1,,9.2
245,-1,,8.3
246,-1,,7.5
247,7,0.2339542710543581,10.0
248,1,0.19371288375996237,8.3
249,0,0.6822204811796695,10.0
250,0,0.27959854077348073,9.6
251,10,0.18636748684835105,7.9
252,13,1.0,10.0
253,0,0.1634807093619093,10.0
254,-1,,9.6
255,-1,,8.3
256,6,0.3924433121808076,6.3
257,2,1.0,10.0
258,0,0.09807986753390188,10.0
259,-1,,9.2
260,-1,,9.2
261,0,0.06543233538462596,7.1
262,0,0.3017359071622442,8.3
263,-1,,6.7
264,0,0.28198409281121356,10.0
265,0,1.0,10.0
266,1,0.3194171022444232,8.8
267,2,0.6040888815838977,2.5
268,0,0.25534248088187605,10.0
269,-1,,9.6
270,4,0.317582466358213,10.0
271,-1,,2.5
272,-1,,5.4
273,11,1.0,10.0
274,-1,,6.7
275,-1,,9.2
276,0,0.5530088250684835,10.0
277,0,0.21452491859601525,9.6
278,6,0.29842413643208526,4.2
279,0,0.1262663632175084,9.6
280,2,0.4870039577406225,7.1
281,0,0.46553928330393796,10.0
282,-1,,4.2
283,-1,,8.3
284,0,0.29812575632866045,9.2
285,-1,,2.5
286,-1,,9.4
287,1,0.6024214330945525,10.0
288,-1,,8.3
289,2,0.5150069243028361,7.9
290,3,0.06136363100934249,10.0
291,14,1.0,6.3
292,9,0.2431883724420299,8.8
293,0,0.23742052184643128,9.2
294,0,0.4351588052393254,9.2
295,4,0.6535088385968243,7.1
296,2,0.7876099263688199,10.0
297,7,0.10328253442575147,9.6
298,1,0.1590330644657313,5.8
299,4,1.0,10.0
300,6,0.3277091763084995,8.8
301,0,1.0,8.8
302,-1,,6.7
303,-1,,5.8
304,1,0.24519776337127197,7.1
305,0,0.30191608409069026,8.3
306,5,0.1595614479404022,9.6
307,5,1.0,8.8
308,1,0.4030824687983254,10.0
309,3,0.09724978329615158,10.0
310,7,1.0,6.3
311,5,0.4584870777523734,6.7
312,-1,,6.7
313,0,0.5472609209455704,8.8
